,predict_y,true_y
110,2.3999999999999995,7.0
111,5.0,8.0
112,2.4,2.6
113,3.4,2.0
114,5.2,2.2
115,3.6,2.8
116,4.799999999999999,3.6
117,4.0,5.0
118,11.0,11.6
119,6.4,7.0
120,4.0,4.0
121,17.0,13.0
122,5.400000000000001,7.0
123,1.8,2.1
124,1.8,2.5
125,2.399999999999999,2.6
126,4.800000000000005,4.1
127,1.75,2.2
128,2.8,3.4
129,2.4,2.5
130,3.15,2.65
131,1.3999999999999997,1.4
132,2.2,1.5
133,4.4,3.3
134,4.75,5.25
135,6.2,3.2
136,5.0,3.0
137,3.0,2.6
138,3.3,3.6
139,6.2,3.6
140,5.6000000000000005,5.2
141,3.4,3.4
142,3.0,3.0
143,3.0,2.6
144,5.199999999999999,4.1
145,3.2,3.0
146,7.0,7.0
147,4.0,4.4
148,6.25,6.4
149,7.0,7.0
150,2.4,2.8
151,7.7,7.6
152,7.7,8.0
153,6.5,7.0
154,10.0,8.6
155,7.25,7.8
156,7.4,7.4
157,7.0,7.6
158,8.4,8.6
159,15.6,15.0
160,8.0,8.0
161,1.16,2.1
162,1.0,1.0
163,1.35,1.5
164,1.0,1.8
165,2.2,2.0
166,3.0,2.2
167,1.3,1.45
168,1.16,1.5
169,1.4,1.25
170,1.15,1.1
171,15.0,15.0
172,16.0,16.0
173,15.9,14.5
174,16.0,16.0
175,18.0,18.0
176,12.0,10.5
177,11.0,11.0
178,9.9,10.5
179,9.5,8.5
180,7.0,8.0
181,8.0,8.0
182,8.2,8.4
183,10.0,7.3
184,4.45,4.0
185,4.45,2.81
186,5.3,3.8
187,2.9,2.6
188,3.1,2.4
189,3.4,2.4
190,5.0,3.0
191,3.2,3.6
192,1.3,2.2
193,1.6,2.0
194,1.3,2.0
195,1.0,2.0
196,2.3,2.0
197,4.6,3.7
198,1.3,2.0
199,1.0,1.0
200,1.16,2.13
201,1.3,1.7
202,1.15,1.4
203,15.0,15.0
204,13.6,16.0
205,18.0,18.0
206,12.0,10.0
207,11.0,16.0
208,14.0,9.5
209,9.5,6.5
210,7.0,4.5
211,8.0,8.0
212,7.0,7.0
213,8.2,8.6
214,4.4,4.8
215,4.0,2.8
216,4.4,4.0
217,2.3,1.6
218,3.7249999999999996,3.15
219,2.0,2.0
220,2.4,2.8
221,2.0,2.0
222,2.5,1.5
223,2.55,2.0
224,2.4,3.0
225,2.8000000000000003,3.0
226,1.25,1.4
227,10.0,6.0
228,10.0,10.0
229,8.0,7.8
230,13.199999999999998,12.4
231,7.066666666666666,7.6
232,12.0,12.0
233,35.0,35.0
234,29.0,7.5
235,4.0,3.9
236,5.25,5.25
237,5.599999999999998,5.0
238,5.0,8.0
239,5.4,5.0
240,6.0,5.0
241,6.3999999999999995,7.0
242,2.5,3.0
243,7.8,7.35
244,8.3,8.0
245,7.0,6.5
246,7.0,8.5
247,2.0,3.8
248,3.0,5.8
249,3.8,4.2
250,2.7,2.09
251,2.5,2.3
252,2.8,2.6
253,2.7,2.5
254,2.55,3.2
255,2.4,2.4
256,2.4,2.8
257,2.6999999999999997,2.25
258,2.3999999999999995,2.4
259,5.2,5.2
260,7.0,8.0
261,6.0,6.0
262,5.6000000000000005,5.2
263,4.4,4.4
264,6.0,7.0
265,3.2000000000000006,2.8
266,3.599999999999998,3.4
267,3.7999999999999994,2.2
268,3.1,1.2
269,2.5,2.5
270,3.8000000000000003,4.0
271,3.2,4.0
272,2.6,4.0
273,4.8,5.0
274,4.0,4.0
275,2.4,2.0
276,3.4,3.6
277,3.4,3.8
278,2.4,4.0
279,4.0,4.6
280,4.0,4.0
281,1.8000000000000003,3.6
282,6.3999999999999995,4.6
283,5.2,4.8
284,2.0,2.0
285,5.0,4.6
286,3.4,4.0
287,3.4,2.6
288,5.6000000000000005,4.6
289,8.0,6.0
290,2.6,3.4
291,1.2,1.8
292,3.8,6.4
293,5.0,6.0
294,2.4,2.8
295,5.0,6.0
296,2.4,3.0
297,3.4,2.6
298,3.4,2.4
299,3.6,2.8
300,4.8,3.6
301,4.0,4.0
302,11.0,10.6
303,6.4,7.0
304,4.0,4.0
305,17.6,14.0
306,5.400000000000001,5.0
307,4.3999999999999995,6.0
308,7.3999999999999995,7.2
309,13.0,14.4
310,12.0,10.0
311,46.0,46.0
312,8.0,8.0
313,3.6,3.2
314,3.2,2.2
315,3.4,2.6
316,5.6000000000000005,3.2
317,4.4,3.4
318,6.0,4.0
319,5.0,5.0
320,10.0,10.0
321,3.0,3.6
322,9.0,8.4
323,14.0,10.0
324,5.3999999999999995,5.6
325,3.3,3.1
326,5.0,2.5
327,4.6,4.6
328,4.0,3.8
329,3.5,3.8
330,3.6,2.4
331,3.25,2.1
332,4.4,3.1
333,4.1,5.0
334,4.1,4.0
335,6.0,4.8
336,1.2,3.0
337,5.6000000000000005,3.6
338,2.4,2.2
339,3.6,4.0
340,2.6,2.6
