,predict_y,true_y
239,-471568921177.79346,5.0
240,-471568921178.99243,5.0
241,-471568921178.45166,7.0
242,-471568921179.7174,3.0
243,-471568921178.1416,7.35
244,-471568921178.2669,8.0
245,-471568921179.45105,6.5
246,-471568921178.3427,8.5
247,2.84210205078125,3.8
248,-4970452482.723206,5.8
249,3.21527099609375,4.2
250,1.58966064453125,2.09
251,2.01702880859375,2.3
252,2.516876220703125,2.6
253,2.13800048828125,2.5
254,-4970452484.059143,3.2
255,2.91717529296875,2.4
256,2.91717529296875,2.8
257,-4970452482.612854,2.25
258,-4970452482.664612,2.4
259,6.131927490234375,5.2
260,-4970452477.813049,8.0
261,-4970452479.359375,6.0
262,-4970452477.305542,5.2
263,7.005615234375,4.4
264,7.4281005859375,7.0
265,1.480712890625,2.8
266,1.4859619140625,3.4
267,2.0380859375,2.2
268,0.5772705078125,1.2
269,2.3380126953125,2.5
270,-4970452482.045898,4.0
271,-4970452482.124512,4.0
272,-4970452480.070679,4.0
273,4.240478515625,5.0
274,4.6629638671875,4.0
275,3.2589111328125,2.0
276,-4970452482.928589,3.6
277,-4970452483.007202,3.8
278,-4970452480.953369,4.0
279,3.3577880859375,4.6
280,3.7802734375,4.0
281,-4970452481.820251,3.6
282,-4970452481.898865,4.6
283,-4970452479.845032,4.8
284,4.466094970703125,2.0
285,6.3414306640625,4.6
286,-4970452479.846069,4.0
287,-4970452477.87085,2.6
288,6.4403076171875,4.6
289,6.86279296875,6.0
290,3.177276611328125,3.4
291,-4970452483.010193,1.8
292,-4970452483.088806,6.4
293,-4970452481.034973,6.0
294,3.276153564453125,2.8
295,3.698638916015625,6.0
296,2.69952392578125,3.0
297,-4970452483.487976,2.6
298,-4970452483.566589,2.4
299,-4970452481.512756,2.8
300,2.79840087890625,3.6
301,3.22088623046875,4.0
302,-4970452461.235107,10.6
303,4.429107666015625,7.0
304,4.851593017578125,4.0
305,9.731170654296875,14.0
306,-4970452476.456421,5.0
307,-4970452476.534912,6.0
308,-4970452474.481201,7.2
309,9.830047607421875,14.4
310,10.252532958984375,10.0
311,-4970452459.181274,46.0
312,25.5523681640625,8.0
313,4.569305419921875,3.2
314,-4970452481.618164,2.2
315,-4970452481.696777,2.6
316,-4970452479.642944,3.2
317,4.668182373046875,3.4
318,5.090667724609375,4.0
319,3.444580078125,5.0
320,8.16253662109375,10.0
321,2.4295654296875,3.6
322,8.687469482421875,8.4
323,9.109954833984375,10.0
324,-4970452479.882141,5.6
325,2.8291015625,3.1
326,4.58984375,2.5
327,-4970452480.975464,4.6
328,4.9630126953125,3.8
329,3.7647705078125,3.8
330,4.264617919921875,2.4
331,3.8857421875,2.1
332,-4970452482.311401,3.1
333,4.6649169921875,5.0
334,4.6649169921875,4.0
335,-4970452480.865112,4.8
336,-4970452483.620911,3.0
337,-4970452481.567078,3.6
338,2.744049072265625,2.2
339,3.166534423828125,4.0
340,2.3240966796875,2.6
341,2.876220703125,2.4
342,1.4154052734375,1.0
343,3.1761474609375,2.0
344,-4970452482.38916,2.2
345,2.35107421875,2.2
346,2.850921630859375,1.4
347,-4970452484.331116,2.4
348,2.645172119140625,2.7
349,2.645172119140625,2.2
350,-4970452482.884827,2.8
351,-4970452482.936584,2.9
